Date/Time,Power,Wind_speed,Theoretical_power,Loss,x_com,y_com,T_1
2018-12-17 08:00:00,3.5822973052660507,2.702599962552382,8.760825785648782,5.178528480382733,-0.14482219196751842,2.6752198495874002,108.01290480295808
2018-12-17 09:00:00,0.0,3.195394039154045,25.7078250193235,25.7078250193235,0.8405332335348155,3.081296595210094,3.5822973052660507
2018-12-17 10:00:00,0.0,2.307210410634671,12.85391250966175,12.85391250966175,1.0045064300457724,1.332375767743402,0.0
2018-12-17 11:00:00,0.0,1.4190267821152969,0.0,0.0,1.1684796265567292,-0.4165450597232902,0.0
2018-12-17 12:00:00,0.0,0.801770741740861,0.0,0.0,-0.3114161370202892,-0.4683308308703013,0.0
2018-12-17 13:00:00,0.0,0.8114614884058623,0.0,0.0,-0.4495247882359564,-0.10390953057795588,0.0
2018-12-17 14:00:00,0.0,2.301864822705582,0.0,0.0,-0.706062477314742,-2.131402554525282,0.0
2018-12-17 15:00:00,0.0,1.9486198822657228,0.0,0.0,-0.6501865762498479,-1.7641958314804478,0.0
2018-12-17 16:00:00,0.0,1.033743411302564,0.0,0.0,0.6448042494236573,0.6618013700479795,0.0
2018-12-17 17:00:00,0.0,1.1239308019479086,0.0,0.0,0.6666313399763745,0.06461461347207029,0.0
2018-12-17 18:00:00,0.0,1.7691689034302975,0.0,0.0,-1.6384044869330403,-0.03787660178146208,0.0
2018-12-17 19:00:00,1.8702805757522571,2.49689798355102,13.2253705266201,11.355089950867843,-2.3998437268217256,-0.6460613849992243,0.0
2018-12-17 20:00:00,0.0,1.6577576398849452,0.0,0.0,-1.4569480421164671,-0.7462692988685508,1.8702805757522571
2018-12-17 21:00:00,0.0,0.7613970587650917,0.0,0.0,-0.5982176579629287,-0.4415108239794738,0.0
2018-12-17 22:00:00,0.0,1.609686210751528,0.0,0.0,0.9001518322326848,1.1443993054168102,0.0
2018-12-17 23:00:00,0.0,1.2485658824443773,0.0,0.0,-0.7593825180019668,0.8766151652050982,0.0
2018-12-18 00:00:00,0.0,1.2328304747740415,0.0,0.0,-0.024851530434811697,0.985219899815842,0.0
2018-12-18 01:00:00,6.14728937149046,2.9170691967010463,21.790147370307942,15.642857998817481,1.6646623248940078,2.342784359093938,0.0
2018-12-18 02:00:00,0.0,2.458459377288814,0.0,0.0,0.6900803035065186,2.353767698533167,6.14728937149046
2018-12-18 03:00:00,34.308555692434304,3.5901111364364584,74.75193969376728,40.44338400133297,1.0772306319816238,3.3018568917181956,0.0
2018-12-18 04:00:00,183.0683486938472,4.631303310394282,253.153295029739,70.08494633589179,2.5632655942859985,3.8568254578413876,34.308555692434304
2018-12-18 05:00:00,366.01644897460915,5.325713634490962,427.65466589002784,61.63821691541869,2.8557544416214253,4.480853720524767,183.0683486938472
2018-12-18 06:00:00,1070.289998372393,7.228927532831823,1178.7336597527371,108.44366138034401,3.8549321986441547,6.112389594194341,366.01644897460915
2018-12-18 07:00:00,1363.2876180012997,7.756657600402828,1431.5598046134535,68.27218661215352,4.278771936265195,6.4682480423117275,1070.289998372393
2018-12-18 08:00:00,911.9735819498683,6.694600979487096,931.1437776476565,19.1701956977882,3.9836687370606474,5.368984229731957,1363.2876180012997
2018-12-18 09:00:00,1204.2326456705698,7.477260510126745,1250.1315717091234,45.89892603855336,4.589275260773896,5.901595648146274,911.9735819498683
2018-12-18 10:00:00,1472.4775390624952,7.860528389612829,1468.4522316720067,-4.025307390488365,5.0678408020668995,5.99891238720839,1204.2326456705698
2018-12-18 11:00:00,1556.040791829425,7.817288637161249,1462.8766560845695,-93.16413574485544,5.875804060366311,5.1546401035000535,1472.4775390624952
2018-12-18 12:00:00,1430.8550211588517,7.486281792322791,1272.9122923759603,-157.94272878289127,5.5920723295516135,4.954559030566642,1556.040791829425
2018-12-18 13:00:00,1367.7641499837216,7.307455221811925,1182.932801837288,-184.8313481464335,5.913382557999916,4.266954915973002,1430.8550211588517
2018-12-18 14:00:00,1254.1041870117162,7.146932840347283,1123.4310545128703,-130.67313249884577,5.880546159433578,4.0552826765843735,1367.7641499837216
